"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2005","114.59","115.86","120.62","110.43","","-1.10%"
"02/01/2005","115.87","110.84","117.96","110.20","","4.57%"
"01/01/2005","110.81","121.41","122.19","109.21","","-8.72%"
"12/01/2004","121.40","114.92","122.75","114.83","","5.69%"
"11/01/2004","114.86","112.70","118.33","111.60","","1.95%"
"10/01/2004","112.66","105.73","113.31","105.52","","6.55%"
"09/01/2004","105.73","108.60","110.66","104.20","","-2.63%"
"08/01/2004","108.59","100.09","108.79","100.00","","8.50%"
"07/01/2004","100.08","101.06","104.19","97.08","","-1.02%"
"06/01/2004","101.11","99.42","102.79","96.84","","1.70%"
"05/01/2004","99.42","93.02","99.60","87.98","","6.87%"
"04/01/2004","93.03","107.04","108.27","92.39","","-13.15%"
"03/01/2004","107.12","103.59","108.04","103.59","","3.41%"
"02/01/2004","103.59","103.14","107.51","101.40","","0.49%"
"01/01/2004","103.09","99.78","103.47","98.43","","3.47%"
"12/01/2003","99.63","96.94","100.87","96.94","","2.92%"
"11/01/2003","96.80","96.96","97.91","93.93","","-0.11%"
"10/01/2003","96.91","95.51","100.26","93.82","","1.59%"
"09/01/2003","95.39","94.68","96.22","93.59","","1.04%"
"08/01/2003","94.41","93.74","94.49","91.26","4.43M","0.67%"
"07/01/2003","93.78","88.47","94.33","87.56","76.72M","5.93%"
"06/01/2003","88.53","88.67","91.67","86.98","80.29M","0.03%"
"05/01/2003","88.50","85.71","90.46","84.77","83.71M","3.24%"
"04/01/2003","85.72","82.31","88.54","82.30","77.41M","4.22%"
"03/01/2003","82.25","81.08","85.62","78.34","81.27M","1.59%"
"02/01/2003","80.96","79.34","81.95","77.67","53.45M","2.03%"
"01/01/2003","79.35","82.79","85.63","77.33","67.71M","-3.79%"
"12/01/2002","82.48","85.06","85.45","81.11","69.63M","-2.79%"
"11/01/2002","84.85","80.17","85.22","79.70","62.82M","5.84%"
"10/01/2002","80.17","83.37","83.79","73.45","99.22M","-3.84%"
"09/01/2002","83.37","90.79","90.79","82.96","65.58M","-8.17%"
"08/01/2002","90.79","89.71","91.46","84.50","25.31M","1.20%"
"07/01/2002","89.71","97.62","97.62","76.19","","-8.10%"
"06/01/2002","97.62","97.26","97.84","76.87","","0.45%"
"05/01/2002","97.18","94.16","97.81","93.26","","3.24%"
"04/01/2002","94.13","96.25","100.82","92.72","","-2.24%"
"03/01/2002","96.29","93.57","97.54","93.50","","3.19%"
"02/01/2002","93.31","92.77","94.12","90.14","","0.58%"
"01/01/2002","92.77","97.43","98.31","92.15","","-4.51%"
"12/01/2001","97.15","95.60","97.83","94.32","","0.25%"
"11/01/2001","96.91","94.15","97.53","91.67","","4.56%"
