"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2001","137.19","122.98","138.16","120.85","","11.16%"
"03/01/2001","123.42","129.77","139.77","120.42","","-4.55%"
"02/01/2001","129.31","129.43","129.43","123.43","","0.87%"
"01/01/2001","128.19","128.66","133.69","120.59","","-2.60%"
"12/01/2000","131.61","131.61","131.61","131.61","","14.51%"
"11/01/2000","114.93","114.93","114.93","114.93","","-3.12%"
"10/01/2000","118.63","118.63","118.63","118.63","","9.61%"
"09/01/2000","108.23","108.23","108.23","108.23","","-9.96%"
"08/01/2000","120.20","120.20","120.20","120.20","","1.23%"
"07/01/2000","118.74","118.74","118.74","118.74","","0.56%"
"06/01/2000","118.08","118.08","118.08","118.08","","-9.13%"
"05/01/2000","129.95","129.95","129.95","129.95","","-2.61%"
"04/01/2000","133.43","133.43","133.43","133.43","","-4.41%"
"03/01/2000","139.59","139.59","139.59","139.59","","9.75%"
"02/01/2000","127.19","127.19","127.19","127.19","","-9.83%"
"01/01/2000","141.06","141.06","141.06","141.06","","-11.82%"
"12/01/1999","159.96","159.96","159.96","159.96","","10.68%"
"11/01/1999","144.52","144.52","144.52","144.52","","-1.60%"
"10/01/1999","146.87","146.87","146.87","146.87","","2.19%"
"09/01/1999","143.72","143.72","143.72","143.72","","-3.07%"
"08/01/1999","148.27","148.27","148.27","148.27","","-4.22%"
"07/01/1999","154.81","154.81","154.81","154.81","","-1.59%"
"06/01/1999","157.31","157.31","157.31","157.31","","4.96%"
"05/01/1999","149.87","149.87","149.87","149.87","","-7.82%"
"04/01/1999","162.59","162.59","162.59","162.59","","24.05%"
"03/01/1999","131.07","131.07","131.07","131.07","","2.40%"
"02/01/1999","128.00","128.00","128.00","128.00","","0.77%"
"01/01/1999","127.02","127.02","127.02","127.02","","-2.36%"
"12/01/1998","130.09","130.09","130.09","130.09","","-3.79%"
"11/01/1998","135.21","135.21","135.21","135.21","","3.25%"
"10/01/1998","130.96","130.96","130.96","130.96","","3.39%"
"09/01/1998","126.67","126.67","126.67","126.67","","6.09%"
"08/01/1998","119.40","119.40","119.40","119.40","","-13.30%"
"07/01/1998","137.71","137.71","137.71","137.71","","-8.36%"
"06/01/1998","150.27","150.27","150.27","150.27","","-4.13%"
"05/01/1998","156.75","156.75","156.75","156.75","","-3.20%"
"04/01/1998","161.93","161.93","161.93","161.93","","3.74%"
"03/01/1998","156.09","156.09","156.09","156.09","","5.33%"
"02/01/1998","148.19","148.19","148.19","148.19","","5.55%"
"01/01/1998","140.40","140.40","140.40","140.40","","-0.69%"
"12/01/1997","141.37","141.37","141.37","141.37","","-1.23%"
"11/01/1997","143.13","143.13","143.13","143.13","","0.87%"
"10/01/1997","141.89","141.89","141.89","141.89","","-8.80%"
"09/01/1997","155.58","155.58","155.58","155.58","","0.88%"
"08/01/1997","154.23","154.23","154.23","154.23","","-4.98%"
"07/01/1997","162.32","162.32","162.32","162.32","","8.42%"
"06/01/1997","149.72","149.72","149.72","149.72","","3.46%"
"05/01/1997","144.71","144.71","144.71","144.71","","5.85%"
"04/01/1997","136.71","136.71","136.71","136.71","","2.47%"
"03/01/1997","133.41","133.41","133.41","133.41","","-4.48%"
"02/01/1997","139.67","139.67","139.67","139.67","","2.44%"
"01/01/1997","136.34","136.34","136.34","136.34","","2.52%"
"12/01/1996","132.99","132.99","132.99","132.99","","-2.73%"
"11/01/1996","136.72","136.72","136.72","136.72","","4.65%"
"10/01/1996","130.65","130.65","130.65","130.65","","0.69%"
"09/01/1996","129.76","129.76","129.76","129.76","","4.24%"
"08/01/1996","124.48","124.48","124.48","124.48","","2.83%"
"07/01/1996","121.05","121.05","121.05","121.05","","-2.58%"
"06/01/1996","124.26","124.26","124.26","124.26","","-5.01%"
"05/01/1996","130.82","130.82","130.82","130.82","","-1.40%"
"04/01/1996","132.68","132.68","132.68","132.68","","0.32%"
"03/01/1996","132.26","132.26","132.26","132.26","","6.29%"
"02/01/1996","124.43","124.43","124.43","124.43","","-0.40%"
"01/01/1996","124.93","124.93","124.93","124.93","","6.53%"
"12/01/1995","117.27","117.27","117.27","117.27","","-0.95%"
"11/01/1995","118.40","118.40","118.40","118.40","","6.16%"
"10/01/1995","111.53","111.53","111.53","111.53","","-6.35%"
"09/01/1995","119.09","119.09","119.09","119.09","","0.33%"
"08/01/1995","118.70","118.70","118.70","118.70","","-0.62%"
"07/01/1995","119.44","119.44","119.44","119.44","","2.68%"
"06/01/1995","116.32","116.32","116.32","116.32","","3.66%"
"05/01/1995","112.21","112.21","112.21","112.21","","2.96%"
"04/01/1995","108.98","108.98","108.98","108.98","","1.26%"
"03/01/1995","107.62","107.62","107.62","107.62","","5.31%"
"02/01/1995","102.19","102.19","102.19","102.19","","6.43%"
"01/01/1995","96.02","96.02","96.02","96.02","","-3.96%"
"12/01/1994","99.98","99.98","99.98","99.98","","3.50%"
"11/01/1994","96.60","96.60","96.60","96.60","","-7.86%"
"10/01/1994","104.84","104.84","104.84","104.84","","-3.52%"
"09/01/1994","108.67","108.67","108.67","108.67","","-0.11%"
"08/01/1994","108.79","108.79","108.79","108.79","","5.79%"
"07/01/1994","102.84","102.84","102.84","102.84","","4.85%"
"06/01/1994","98.08","98.08","98.08","98.08","","-2.87%"
"05/01/1994","100.98","100.98","100.98","100.98","","4.09%"
"04/01/1994","97.01","97.01","97.01","97.01","","-0.07%"
"03/01/1994","97.08","97.08","97.08","97.08","","-4.30%"
"02/01/1994","101.44","101.44","101.44","101.44","","-2.88%"
"01/01/1994","104.45","104.45","104.45","104.45","","7.94%"
"12/01/1993","96.77","96.77","96.77","96.77","","3.24%"
"11/01/1993","93.73","93.73","93.73","93.73","","2.38%"
"10/01/1993","91.55","91.55","91.55","91.55","","3.95%"
"09/01/1993","88.07","88.07","88.07","88.07","","-4.26%"
"08/01/1993","91.99","91.99","91.99","91.99","","2.35%"
"07/01/1993","89.88","89.88","89.88","89.88","","0.27%"
"06/01/1993","89.64","89.64","89.64","89.64","","-2.72%"
"05/01/1993","92.15","92.15","92.15","92.15","","1.67%"
"04/01/1993","90.64","90.64","90.64","90.64","","2.16%"
"03/01/1993","88.72","88.72","88.72","88.72","","0.16%"
"02/01/1993","88.58","88.58","88.58","88.58","","1.06%"
"01/01/1993","87.65","87.65","87.65","87.65","","0.14%"
"12/01/1992","87.53","87.53","87.53","87.53","","0.86%"
"11/01/1992","86.78","86.78","86.78","86.78","","1.95%"
"10/01/1992","85.12","85.12","85.12","85.12","","1.66%"
"09/01/1992","83.73","83.73","83.73","83.73","","0.07%"
"08/01/1992","83.67","83.67","83.67","83.67","","-5.51%"
"07/01/1992","88.55","88.55","88.55","88.55","","1.40%"
"06/01/1992","87.33","87.33","87.33","87.33","","-2.65%"
"05/01/1992","89.71","89.71","89.71","89.71","","-0.80%"
"04/01/1992","90.43","90.43","90.43","90.43","","5.85%"
"03/01/1992","85.43","85.43","85.43","85.43","","0.43%"
"02/01/1992","85.06","85.06","85.06","85.06","","2.48%"
"01/01/1992","83.00","83.00","83.00","83.00","","1.65%"
"12/01/1991","81.65","81.65","81.65","81.65","","9.19%"
"11/01/1991","74.78","74.78","74.78","74.78","","-8.32%"
